time,pressure,sable
2019-09-18T00:30:00.000Z,651.2179247,
2019-09-18T01:30:00.000Z,650.6704525,
2019-09-18T02:30:00.000Z,650.1566131,
2019-09-18T03:30:00.000Z,649.8081428,
2019-09-18T04:30:00.000Z,649.7031636,
2019-09-18T05:30:00.000Z,649.85295,
2019-09-18T06:30:00.000Z,650.2153733,
2019-09-18T07:30:00.000Z,650.6858678,
2019-09-18T08:30:00.000Z,651.1497825,
2019-09-18T09:30:00.000Z,651.4960664,
2019-09-18T10:30:00.000Z,651.6330317,
2019-09-18T11:30:00.000Z,651.5227586,
2019-09-18T12:30:00.000Z,651.2267286,
2019-09-18T13:30:00.000Z,650.8187786,
2019-09-18T14:30:00.000Z,650.4097072,
2019-09-18T15:30:00.000Z,650.1208783,
2019-09-18T16:30:00.000Z,650.0380575,
2019-09-18T17:30:00.000Z,650.1906067,
2019-09-18T18:30:00.000Z,650.5348111,
2019-09-18T19:30:00.000Z,650.9945944,
2019-09-18T20:30:00.000Z,651.4642536,
2019-09-18T21:30:00.000Z,651.8028597,
2019-09-18T22:30:00.000Z,651.9404867,
2019-09-18T23:30:00.000Z,651.8289861,
2019-09-19T00:30:00.000Z,651.4724797,
2019-09-19T01:30:00.000Z,650.9811028,
2019-09-19T02:30:00.000Z,650.4638406,
2019-09-19T03:30:00.000Z,650.0172672,
2019-09-19T04:30:00.000Z,649.7495533,
2019-09-19T05:30:00.000Z,649.7277556,
2019-09-19T06:30:00.000Z,649.9372028,
2019-09-19T07:30:00.000Z,650.3086256,
2019-09-19T08:30:00.000Z,650.7526192,
2019-09-19T09:30:00.000Z,651.1530456,
2019-09-19T10:30:00.000Z,651.4168114,
2019-09-19T11:30:00.000Z,651.4810542,
2019-09-19T12:30:00.000Z,651.3427558,
2019-09-19T13:30:00.000Z,651.0525199,
2019-09-19T14:30:00.000Z,650.6912531,
2019-09-19T15:30:00.000Z,650.3841642,
2019-09-19T16:30:00.000Z,650.2136981,
2019-09-19T17:30:00.000Z,650.2287008,
2019-09-19T18:30:00.000Z,650.4489792,
2019-09-19T19:30:00.000Z,650.8143847,
2019-09-19T20:30:00.000Z,651.2383028,
2019-09-19T21:30:00.000Z,651.6136608,
2019-09-19T22:30:00.000Z,651.8384936,
2019-09-19T23:30:00.000Z,651.8510294,
2019-09-20T00:30:00.000Z,651.6500433,
2019-09-20T01:30:00.000Z,651.2665014,
2019-09-20T02:30:00.000Z,650.7621708,
2019-09-20T03:30:00.000Z,650.2677836,
2019-09-20T04:30:00.000Z,649.8971764,
2019-09-20T05:30:00.000Z,649.7032556,
