date,time,start,Annotation start (sec),annotation,sablefish
09/18/2019,0:00:00,0:00:04,49,0:00:53,
09/18/2019,1:00:00,,,,
09/18/2019,2:00:00,2:00:07,47,2:00:54,
09/18/2019,3:00:00,3:00:13,41,3:00:54,
09/18/2019,4:00:00,4:00:10,43,4:00:53,
09/18/2019,5:00:00,5:00:07,44,5:00:51,
09/18/2019,6:00:00,6:00:18,35,6:00:53,
09/18/2019,7:00:00,7:00:21,33,7:00:54,
09/18/2019,8:00:00,8:00:10,45,8:00:55,
09/18/2019,9:00:00,9:00:19,34,9:00:53,
09/18/2019,10:00:00,10:00:21,31,10:00:52,
09/18/2019,11:00:00,11:00:01,55,11:00:56,
09/18/2019,12:00:00,12:00:08,46,12:00:54,
09/18/2019,13:00:00,13:00:19,34,13:00:53,
09/18/2019,14:00:00,14:00:04,49,14:00:53,
09/18/2019,15:00:00,15:00:08,45,15:00:53,
09/18/2019,16:00:00,16:00:16,37,16:00:53,
09/18/2019,17:00:00,17:00:19,35,17:00:54,
09/18/2019,18:00:00,18:00:08,43,18:00:51,
09/18/2019,19:00:00,19:00:09,42,19:00:51,
09/18/2019,20:00:00,20:00:07,43,20:00:50,
09/18/2019,21:00:00,21:00:20,32,21:00:52,
09/18/2019,22:00:00,22:00:13,41,22:00:54,
09/18/2019,23:00:00,23:00:22,31,23:00:53,
09/19/2019,0:00:00,0:00:14,40,0:00:54,1
09/19/2019,1:00:00,1:00:11,41,1:00:52,
09/19/2019,2:00:00,2:00:02,58,2:01:00,
09/19/2019,3:00:00,3:00:14,39,3:00:53,
09/19/2019,4:00:00,4:00:20,33,4:00:53,
09/19/2019,5:00:00,5:00:20,31,5:00:51,
09/19/2019,6:00:00,6:00:21,33,6:00:54,
09/19/2019,7:00:00,7:00:05,49,7:00:54,
09/19/2019,8:00:00,8:00:08,48,8:00:56,
09/19/2019,9:00:00,9:00:22,32,9:00:54,
09/19/2019,10:00:00,10:00:06,47,10:00:53,
09/19/2019,11:00:00,11:00:17,36,11:00:53,
09/19/2019,12:00:00,12:00:22,31,12:00:53,
09/19/2019,13:00:00,13:00:19,34,13:00:53,
09/19/2019,14:00:00,14:00:01,54,14:00:55,
09/19/2019,15:00:00,15:00:14,40,15:00:54,
09/19/2019,16:00:00,16:00:12,39,16:00:51,
09/19/2019,17:00:00,17:00:18,35,17:00:53,
09/19/2019,18:00:00,18:00:12,37,18:00:49,
09/19/2019,19:00:00,19:00:21,33,19:00:54,
09/19/2019,20:00:00,20:00:20,32,20:00:52,
09/19/2019,21:00:00,21:00:03,52,21:00:55,
09/19/2019,22:00:00,22:00:02,50,22:00:52,
09/19/2019,23:00:00,23:00:17,36,23:00:53,
09/20/2019,0:00:00,0:00:13,39,0:00:52,
09/20/2019,1:00:00,1:00:07,46,1:00:53,
09/20/2019,2:00:00,2:00:15,38,2:00:53,
09/20/2019,3:00:00,3:00:20,35,3:00:55,
09/20/2019,4:00:00,4:00:03,50,4:00:53,
09/20/2019,5:00:00,5:00:19,35,5:00:54,
09/20/2019,6:00:00,6:00:12,40,6:00:52,
09/20/2019,7:00:00,7:00:19,30,7:00:49,
09/20/2019,8:00:00,8:00:07,47,8:00:54,
09/20/2019,9:00:00,9:00:22,31,9:00:53,
09/20/2019,10:00:00,10:00:24,30,10:00:54,
09/20/2019,11:00:00,11:00:22,27,11:00:49,
09/20/2019,12:00:00,12:00:06,45,12:00:51,
09/20/2019,13:00:00,13:00:04,46,13:00:50,
09/20/2019,14:00:00,14:00:21,34,14:00:55,
09/20/2019,15:00:00,15:00:06,48,15:00:54,
09/20/2019,16:00:00,16:00:22,31,16:00:53,
09/20/2019,17:00:00,17:00:02,50,17:00:52,
09/20/2019,18:00:00,18:00:22,31,18:00:53,
09/20/2019,19:00:00,19:00:13,38,19:00:51,
09/20/2019,20:00:00,20:00:09,45,20:00:54,
09/20/2019,21:00:00,21:00:12,40,21:00:52,
09/20/2019,22:00:00,22:00:22,33,22:00:55,
09/20/2019,23:00:00,23:00:12,41,23:00:53,
09/21/2019,0:00:00,0:00:09,45,0:00:54,
09/21/2019,1:00:00,1:00:03,51,1:00:54,
09/21/2019,2:00:00,2:00:15,37,2:00:52,
09/21/2019,3:00:00,3:00:17,35,3:00:52,
09/21/2019,4:00:00,4:00:22,32,4:00:54,
09/21/2019,5:00:00,5:00:14,37,5:00:51,
09/21/2019,6:00:00,6:00:01,53,6:00:54,
09/21/2019,7:00:00,7:00:08,45,7:00:53,
09/21/2019,8:00:00,8:00:17,35,8:00:52,
09/21/2019,9:00:00,9:00:13,39,9:00:52,
09/21/2019,10:00:00,10:00:06,48,10:00:54,
09/21/2019,11:00:00,11:00:19,34,11:00:53,
09/21/2019,12:00:00,12:00:04,48,12:00:52,
09/21/2019,13:00:00,13:00:20,33,13:00:53,
09/21/2019,14:00:00,14:00:06,48,14:00:54,
09/21/2019,15:00:00,15:00:17,37,15:00:54,
09/21/2019,16:00:00,16:00:04,49,16:00:53,
09/21/2019,17:00:00,17:00:05,48,17:00:53,
09/21/2019,18:00:00,18:00:22,32,18:00:54,
09/21/2019,19:00:00,19:00:12,39,19:00:51,
09/21/2019,20:00:00,20:00:22,31,20:00:53,
09/21/2019,21:00:00,21:00:16,36,21:00:52,
09/21/2019,22:00:00,22:00:17,36,22:00:53,
09/21/2019,23:00:00,23:00:03,50,23:00:53,
09/22/2019,0:00:00,0:00:11,43,0:00:54,
09/22/2019,1:00:00,1:00:10,40,1:00:50,
09/22/2019,2:00:00,2:00:01,53,2:00:54,
09/22/2019,3:00:00,3:00:19,34,3:00:53,
09/22/2019,4:00:00,4:00:17,35,4:00:52,
09/22/2019,5:00:00,5:00:17,36,5:00:53,
09/22/2019,6:00:00,6:00:12,42,6:00:54,
09/22/2019,7:00:00,7:00:22,29,7:00:51,
09/22/2019,8:00:00,8:00:14,39,8:00:53,
09/22/2019,9:00:00,9:00:12,43,9:00:55,
09/22/2019,10:00:00,10:00:02,51,10:00:53,
09/22/2019,11:00:00,11:00:07,47,11:00:54,
09/22/2019,12:00:00,12:00:09,45,12:00:54,
09/22/2019,13:00:00,13:00:04,49,13:00:53,
09/22/2019,14:00:00,14:00:01,49,14:00:50,
09/22/2019,15:00:00,15:00:19,31,15:00:50,
09/22/2019,16:00:00,16:00:11,43,16:00:54,
09/22/2019,17:00:00,17:00:12,41,17:00:53,
09/22/2019,18:00:00,18:00:13,41,18:00:54,
09/22/2019,19:00:00,19:00:09,46,19:00:55,
09/22/2019,20:00:00,20:00:09,45,20:00:54,
09/22/2019,21:00:00,21:00:13,40,21:00:53,
09/22/2019,22:00:00,22:00:08,47,22:00:55,
09/22/2019,23:00:00,23:00:19,35,23:00:54,
09/23/2019,0:00:00,0:00:11,43,0:00:54,
09/23/2019,1:00:00,1:00:12,40,1:00:52,
09/23/2019,2:00:00,2:00:03,51,2:00:54,
09/23/2019,3:00:00,3:00:17,34,3:00:51,
09/23/2019,4:00:00,4:00:06,48,4:00:54,
09/23/2019,5:00:00,5:00:03,47,5:00:50,
09/23/2019,6:00:00,6:00:16,37,6:00:53,
09/23/2019,7:00:00,7:00:00,53,7:00:53,
09/23/2019,8:00:00,8:00:08,45,8:00:53,
09/23/2019,9:00:00,9:00:00,55,9:00:55,
09/23/2019,10:00:00,10:00:18,36,10:00:54,
09/23/2019,11:00:00,11:00:04,51,11:00:55,
09/23/2019,12:00:00,12:00:21,33,12:00:54,
09/23/2019,13:00:00,13:00:02,51,13:00:53,
09/23/2019,14:00:00,14:00:23,32,14:00:55,
09/23/2019,15:00:00,15:00:15,39,15:00:54,
09/23/2019,16:00:00,16:00:07,48,16:00:55,
09/23/2019,17:00:00,17:00:03,50,17:00:53,
09/23/2019,18:00:00,18:00:32,20,18:00:52,
09/23/2019,19:00:00,19:00:04,51,19:00:55,
09/23/2019,20:00:00,20:00:22,30,20:00:52,
09/23/2019,21:00:00,21:00:10,40,21:00:50,
09/23/2019,22:00:00,22:00:16,38,22:00:54,
09/23/2019,23:00:00,23:00:08,46,23:00:54,
09/24/2019,0:00:00,0:00:12,41,0:00:53,
09/24/2019,1:00:00,1:00:24,29,1:00:53,
09/24/2019,2:00:00,2:00:18,31,2:00:49,
09/24/2019,3:00:00,3:00:19,34,3:00:53,
09/24/2019,4:00:00,4:00:17,35,4:00:52,
09/24/2019,5:00:00,5:00:14,40,5:00:54,
09/24/2019,6:00:00,6:00:02,52,6:00:54,
09/24/2019,7:00:00,7:00:11,45,7:00:56,
09/24/2019,8:00:00,8:00:05,49,8:00:54,
09/24/2019,9:00:00,9:00:01,58,9:00:59,
09/24/2019,10:00:00,10:00:16,37,10:00:53,
09/24/2019,11:00:00,11:00:04,50,11:00:54,
09/24/2019,12:00:00,12:00:07,45,12:00:52,
09/24/2019,13:00:00,13:00:09,45,13:00:54,
09/24/2019,14:00:00,14:00:03,51,14:00:54,
09/24/2019,15:00:00,15:00:15,40,15:00:55,
09/24/2019,16:00:00,16:00:08,47,16:00:55,
09/24/2019,17:00:00,17:00:03,47,17:00:50,
09/24/2019,18:00:00,18:00:23,31,18:00:54,
09/24/2019,19:00:00,19:00:07,47,19:00:54,
09/24/2019,20:00:00,20:00:01,52,20:00:53,
09/24/2019,21:00:00,21:00:04,50,21:00:54,
09/24/2019,22:00:00,22:00:04,50,22:00:54,
09/24/2019,23:00:00,23:00:13,36,23:00:49,
09/25/2019,0:00:00,0:00:05,49,0:00:54,
09/25/2019,1:00:00,1:00:01,56,1:00:57,
09/25/2019,2:00:00,2:00:22,31,2:00:53,
09/25/2019,3:00:00,3:00:07,46,3:00:53,
09/25/2019,4:00:00,4:00:18,35,4:00:53,
09/25/2019,5:00:00,5:00:19,33,5:00:52,
09/25/2019,6:00:00,6:00:18,35,6:00:53,
09/25/2019,7:00:00,7:00:01,52,7:00:53,
09/25/2019,8:00:00,8:00:09,44,8:00:53,
09/25/2019,9:00:00,9:00:11,41,9:00:52,
09/25/2019,10:00:00,10:00:07,46,10:00:53,
09/25/2019,11:00:00,11:00:12,41,11:00:53,
09/25/2019,12:00:00,12:00:18,35,12:00:53,
09/25/2019,13:00:00,13:00:14,38,13:00:52,
09/25/2019,14:00:00,14:00:06,49,14:00:55,
09/25/2019,15:00:00,15:00:17,36,15:00:53,
09/25/2019,16:00:00,16:00:11,43,16:00:54,
09/25/2019,17:00:00,17:00:13,41,17:00:54,
09/25/2019,18:00:00,18:00:13,41,18:00:54,
09/25/2019,19:00:00,19:00:22,33,19:00:55,
09/25/2019,20:00:00,20:00:10,40,20:00:50,
09/25/2019,21:00:00,21:00:03,51,21:00:54,
09/25/2019,22:00:00,22:00:26,29,22:00:55,
09/25/2019,23:00:00,23:00:19,35,23:00:54,
09/26/2019,0:00:00,0:00:05,48,0:00:53,
09/26/2019,1:00:00,1:00:22,30,1:00:52,
09/26/2019,2:00:00,2:00:12,40,2:00:52,
09/26/2019,3:00:00,3:00:16,37,3:00:53,
09/26/2019,4:00:00,4:00:21,31,4:00:52,
09/26/2019,5:00:00,5:00:13,40,5:00:53,
09/26/2019,6:00:00,6:00:23,31,6:00:54,
